Guide	Gene	ctrl_1	ctrl_2	ctrl_3	test_1	test_2	test_3
ZNF843_+_31454039.23-P1P2_h5_Top5	ZNF843	1927	3006	1554	1129	2004	519
ZNF318_+_43336780.23-P1P2_h5_Top5	ZNF318	2390	4135	2329	1925	3050	677
ZC3H18_+_88636848.23-P1P2_h5_Top5	ZC3H18	994	1234	931	671	969	217
HMGB4_+_34329660.23-P1P2_h5_Top5	HMGB4	1518	1831	1120	1079	1435	269
VAX2_-_71127764.23-P1P2_h5_Top5	VAX2	3036	4321	2553	2202	2759	721
ZNF175_-_52074629.23-P1P2_h5_Top5	ZNF175	1358	1660	889	885	1031	301
HAND2_-_174451323.23-P1_h5_Top5	HAND2	1291	1660	825	873	1325	316
ZNF267_-_31895905.23-P2_h5_Top5	ZNF267	258	196	81	144	93	20
CDCA7_+_174219809.23-P1P2_h5_Top5	CDCA7	2068	2579	1455	999	2041	448
LSM2_-_31774578.23-P1P2_h5_Top5	LSM2	143	228	130	106	250	23
SLC4A1AP_-_27887142.23-P1P2_h5_Top5	SLC4A1AP	149	336	162	239	331	119
KLF2_+_16435686.23-P1P2_h5_Top5	KLF2	1862	2188	1221	1284	1844	368
ZNF705G_-_7220327.23-ENST00000400078.2_h5_Top5	ZNF705G	980	1383	573	498	769	148
ZNF766_+_52773306.23-P1P2_h5_Top5	ZNF766	1200	1488	949	917	1117	324
TCEA3_+_23751121.23-P1P2_h5_Top5	TCEA3	2266	3287	1872	1681	2053	572
ZNF100_+_21950186.23-P1P2_h5_Top5	ZNF100	659	1118	537	481	727	182
HEXIM2_-_43239306.23-P1_h5_Top5	HEXIM2	2958	5038	2826	2404	3327	797
non-targeting_01110_h5_Top5	non-targeting	768	1298	761	542	868	200
PITX3_+_104001257.23-P1P2_h5_Top5	PITX3	1216	1570	976	940	967	251
LYAR_+_4291848.23-P1P2_h5_Top5	LYAR	1360	1975	1025	1113	1433	337
ZNF75A_+_3355556.23-P1P2_h5_Top5	ZNF75A	2112	2908	1478	1546	2148	477
SSH1_-_109251292.23-P1P2_h5_Top5	SSH1	1154	1801	1049	797	1126	330
HOXA1_-_27135378.23-P1P2_h5_Top5	HOXA1	1945	2628	1403	1375	1502	413
CPXCR1_-_88002248.23-P1P2_h5_Top5	CPXCR1	465	737	273	272	493	96
TCF19_-_31126329.23-P1_h5_Top5	TCF19	543	834	444	413	672	164
SCAF8_+_155054547.23-P1P2_h5_Top5	SCAF8	3702	6856	3579	2523	4251	1080
TAF1B_-_9983662.23-P1P2_h5_Top5	TAF1B	193	136	66	163	214	20
ZNF35_-_44690216.23-P1P2_h5_Top5	ZNF35	1296	1826	802	824	1112	240
TOR1AIP1_-_179851462.23-P1P2_h5_Top5	TOR1AIP1	3460	4509	2479	1834	2423	652
TUT1_-_62344700.23-P2_h5_Top5	TUT1	2403	3287	1873	1453	2016	573
ZBTB8B_-_32930723.23-P1P2_h5_Top5	ZBTB8B	979	1070	731	775	830	206
RPP30_-_92632129.23-P1P2_h5_Top5	RPP30	197	343	227	141	308	48
PHAX_-_125936686.23-P1_h5_Top5	PHAX	88	137	39	26	102	10
ZNF716_+_57510178.23-P1P2_h5_Top5	ZNF716	747	911	544	460	633	188
HIST2H3A_+_149824198.23-P1P2_h5_Top5	HIST2H3A	625	393	370	439	514	155
PQBP1_-_48755256.23-P1P2_h5_Top5	PQBP1	657	1013	614	428	676	148
ELAVL2_+_23826334.23-P1_h5_Top5	ELAVL2	1055	1209	626	530	943	166
TCEAL6_+_101397484.23-P1P2_h5_Top5	TCEAL6	1750	2622	1335	1073	1779	405
NUP210L_+_154127504.23-P1P2_h5_Top5	NUP210L	1627	2227	1079	996	1523	270
LARP1_-_154092586.23-ENST00000336314.4_h5_Top5	LARP1	2389	3042	1793	1446	2164	511
BATF_+_75988828.23-P1P2_h5_Top5	BATF	322	452	227	250	262	35
ANKRD44_+_198051790.23-ENST00000450567.1_h5_Top5	ANKRD44	1211	1692	798	823	1240	263
SWAP70_-_9686061.23-P1P2_h5_Top5	SWAP70	2525	3956	2057	2215	2865	679
ZNF480_+_52800902.23-P1P2_h5_Top5	ZNF480	520	953	424	333	484	85
SLC38A4_+_47197403.23-P1_h5_Top5	SLC38A4	1488	2193	857	1014	1301	225
FAM153A_+_177207397.23-ENST00000440605.3,ENST00000513554.1_h5_Top5	FAM153A	321	266	205	277	404	94
ZNF565_+_36705532.23-P1P2_h5_Top5	ZNF565	3203	4872	2693	2442	3449	778
ZNF555_-_2841513.23-P1P2_h5_Supp5	ZNF555	0	1	0	0	0	0
SHANK3_+_51136302.23-P1P2_h5_Top5	SHANK3	4411	5582	3520	2918	3782	1006
TAS2R20_+_11150012.23-ENST00000538986.1_h5_Top5	TAS2R20	690	1093	433	397	707	152
NFYB_+_104531486.23-P1P2_h5_Top5	NFYB	2787	3652	1916	1790	2159	530
DMRTC1B_-_71997170.23-P1P2_h5_Top5	DMRTC1B	1847	2144	1379	1058	1565	499
HIST1H4F_+_26241019.23-ENST00000377745.2_h5_Top5	HIST1H4F	783	1173	662	644	685	173
TARSL2_-_102264605.23-P1P2_h5_Top5	TARSL2	3555	4834	2901	2005	2711	795
TEAD2_-_49864450.23-P1P2_h5_Top5	TEAD2	1457	1867	1150	869	1203	431
BAZ2A_+_57023850.23-P1_h5_Top5	BAZ2A	2825	3467	2469	1782	2481	701
HNRNPA1_-_54674972.23-P1P2_h5_Top5	HNRNPA1	1605	2364	1178	1107	1640	361
NOBOX_+_144100718.23-ENST00000223140.5_h5_Top5	NOBOX	1072	1274	621	597	860	270
ZNF615_+_52511417.23-P1P2_h5_Top5	ZNF615	882	1128	793	864	925	249
ZNF540_+_38042335.23-P2_h5_Top5	ZNF540	2875	4067	2613	2141	2687	700
ZNF430_-_21203918.23-P1P2_h5_Top5	ZNF430	1785	2730	1333	1399	1697	414
KRBA1_+_149412067.23-P1P2_h5_Top5	KRBA1	3113	4222	2182	1980	2766	775
SRCAP_+_30709873.23-P1P2_h5_Top5	SRCAP	1750	2315	1228	1534	2032	489
TIGD6_+_149380072.23-P1P2_h5_Top5	TIGD6	1805	3089	1927	1023	1662	413
TIGD3_+_65122682.23-P1P2_h5_Top5	TIGD3	337	410	340	310	205	60
KRTAP5-9_+_71259860.23-ENST00000528743.2_h5_Top5	KRTAP5-9	2837	3406	1905	1935	2388	675
ZNF599_+_35264058.23-P1P2_h5_Top5	ZNF599	1495	2086	1196	992	1437	359
ZNF550_-_58070733.23-P1P2_h5_Supp5	ZNF550	0	0	0	0	0	1
ZNF23_-_71523170.23-P2_h5_Top5	ZNF23	326	499	305	268	274	89
FOXH1_+_145700807.23-P1P2_h5_Top5	FOXH1	3544	4636	2927	3086	3763	962
PLXNC1_+_94542804.23-P1P2_h5_Top5	PLXNC1	2602	3223	1922	1839	2521	616
SLTM_-_59225789.23-P1P2_h5_Top5	SLTM	2429	2654	1745	1381	1668	501
SMG6_-_2206692.23-P1P2_h5_Top5	SMG6	352	669	392	390	527	156
ZNF221_-_44455590.23-P1P2_h5_Top5	ZNF221	3317	5367	2967	2472	3470	737
ZNF169_-_97021669.23-P1P2_h5_Top5	ZNF169	1574	1874	1111	1005	1350	342
LRFN5_+_42077007.23-P1P2_h5_Top5	LRFN5	1205	1585	800	787	1026	269
KDM5A_+_498065.23-P1P2_h5_Top5	KDM5A	378	841	418	317	651	140
ZNF34_+_146012488.23-P1P2_h5_Supp5	ZNF34	0	0	0	1	0	0
ZNF527_-_37862136.23-P1P2_h5_Top5	ZNF527	2092	3347	1478	1539	2174	590
ZNF205_+_3162601.23-P1P2_h5_Top5	ZNF205	937	1340	673	1184	1258	363
ZNF438_+_31320582.23-P1_h5_Top5	ZNF438	2650	3727	2430	1742	2079	539
ZNF552_+_58325850.23-P1P2_h5_Top5	ZNF552	1798	2868	1068	1325	1859	323
AP5Z1_-_4815278.23-P1P2_h5_Top5	AP5Z1	2289	2606	1692	1407	2361	577
DMRTA1_+_22446832.23-P1P2_h5_Top5	DMRTA1	1515	2097	1398	1216	1554	377
SIGIRR_-_414959.23-P2_h5_Top5	SIGIRR	2558	3626	2244	1893	2753	587
HOXD4_-_177016799.23-P1P2_h5_Top5	HOXD4	1000	1541	967	601	956	229
SIX1_+_61116164.23-P1P2_h5_Top5	SIX1	2809	4324	2397	1904	2936	525
H1FX_+_129035094.23-P1P2_h5_Top5	H1FX	3276	4665	2746	2384	3008	874
IGHMBP2_+_68671745.23-P1P2_h5_Top5	IGHMBP2	1177	1646	697	797	1083	306
HIVEP3_-_42166661.23-ENST00000247584.5,ENST00000429157.2_h5_Top5	HIVEP3	585	703	507	365	576	123
TMPO_+_98909862.23-P1P2_h5_Top5	TMPO	747	818	573	424	616	160
non-targeting_01289_h5_Top5	non-targeting	1632	3148	1288	1177	1776	352
ZBED1_-_2418607.23-P1P2_h5_Top5	ZBED1	299	730	420	236	332	107
ONECUT2_+_55102653.23-P1P2_h5_Top5	ONECUT2	3455	5092	3110	2814	3196	900
HIST1H4J_-_27792398.23-P1P2_h5_Top5	HIST1H4J	1370	1698	856	769	1185	257
GTF3C5_+_135906104.23-P1P2_h5_Top5	GTF3C5	405	809	465	249	374	85
EEPD1_-_36193135.23-P1P2_h5_Top5	EEPD1	2042	2607	1335	1077	1625	419
KIAA0922_-_154387533.23-P1P2_h5_Top5	KIAA0922	2198	3766	1816	1791	2546	596
ZNF548_+_57901275.23-P1P2_h5_Top5	ZNF548	3321	4550	2486	1940	2678	798
DDX27_+_47836124.23-P1P2_h5_Top5	DDX27	87	77	30	69	80	12
HOXD8_-_176995362.23-P1P2_h5_Top5	HOXD8	1176	1553	925	831	970	298
GEN1_+_17935642.23-P1P2_h5_Top5	GEN1	1389	2002	1201	920	1359	345
TCEAL3_-_102863203.23-P1P2_h5_Top5	TCEAL3	838	1601	839	676	993	298
ZNF221_+_44455625.23-P1P2_h5_Top5	ZNF221	1785	2708	1555	1266	1657	457
ZFX_+_24167896.23-P1P2_h5_Top5	ZFX	868	1202	761	814	921	252
CREBRF_+_172484436.23-P2_h5_Top5	CREBRF	2358	2585	1606	1495	1957	524
ZC3H4_+_47616996.23-P2_h5_Top5	ZC3H4	306	401	226	240	220	62
RASSF7_-_561677.23-P1P2_h5_Top5	RASSF7	2693	3538	2130	1568	2706	560
PKHD1L1_-_110375164.23-P1P2_h5_Top5	PKHD1L1	675	394	328	257	373	94
MPHOSPH10_-_71357821.23-P1P2_h5_Top5	MPHOSPH10	82	122	17	63	26	7
DEPDC1B_-_59995929.23-P1P2_h5_Top5	DEPDC1B	2222	3610	1757	1850	2603	529
HES6_+_239149236.23-P1P2_h5_Top5	HES6	851	792	500	610	537	115
CPSF7_+_61197025.23-P1P2_h5_Top5	CPSF7	1214	1709	844	806	1061	238
KDM4A_-_44115863.23-P1P2_h5_Top5	KDM4A	1628	2118	1018	928	1281	323
CREB5_-_28452310.23-ENST00000357727.2_h5_Top5	CREB5	419	532	238	211	291	62
BHLHE22_+_65492932.23-P1P2_h5_Top5	BHLHE22	2779	4786	2526	2222	3342	796
RPA4_-_96139634.23-P1P2_h5_Top5	RPA4	1136	1545	704	742	1073	225
BPTF_-_65821667.23-P1P2_h5_Top5	BPTF	3029	3091	2068	1774	2266	589
FAM153A_-_177210353.23-ENST00000510276.1_h5_Top5	FAM153A	3647	4948	2682	2326	3559	856
ARID2_+_46123520.23-P1P2_h5_Top5	ARID2	948	852	894	461	764	218
ZNF530_-_58111347.23-P1P2_h5_Top5	ZNF530	1939	3961	1598	1274	2129	472
non-targeting_01259_h5_Top5	non-targeting	3460	4992	2519	2378	3862	742
MIER3_+_56247535.23-P1P2_h5_Top5	MIER3	771	1204	559	401	708	151
MRI1_+_13875826.23-P1P2_h5_Top5	MRI1	1941	2798	1425	1298	1934	470
IKZF5_+_124768241.23-P1P2_h5_Top5	IKZF5	1937	2398	1425	1271	1810	395
BRF1_-_105767336.23-P1P2_h5_Top5	BRF1	115	118	67	104	96	29
MTF2_-_93545037.23-P1P2_h5_Top5	MTF2	2477	4625	2091	2204	3149	724
ZNF44_-_12405560.23-P1P2_h5_Top5	ZNF44	1612	2374	1172	1034	1314	400
ZNF296_-_45579306.23-P1P2_h5_Top5	ZNF296	999	1586	744	466	856	213
H1FNT_+_48723135.23-P1P2_h5_Top5	H1FNT	2612	3191	1905	1637	2278	520
OIP5_-_41624496.23-P1P2_h5_Top5	OIP5	2444	4805	2321	1454	2946	710
AHDC1_+_27930650.23-P1P2_h5_Top5	AHDC1	2028	2941	1826	1442	2147	640
PDCD7_-_65425740.23-P1P2_h5_Top5	PDCD7	199	263	178	185	178	49
HIST1H1A_+_26017671.23-P1P2_h5_Top5	HIST1H1A	924	1227	545	621	889	178
TOX_-_60031640.23-P1P2_h5_Top5	TOX	889	1475	836	726	910	253
ZNF326_+_90461136.23-P1P2_h5_Top5	ZNF326	2161	2777	1366	1239	1712	472
CPEB1_-_83316694.23-ENST00000568128.1_h5_Top5	CPEB1	1592	2482	1352	972	1652	385
MED12L_+_150803968.23-P1P2_h5_Top5	MED12L	2593	3944	1956	1907	2871	677
MXD3_-_176738882.23-P1P2_h5_Top5	MXD3	1364	1912	916	820	1139	193
ZNF570_-_37958459.23-P2_h5_Top5	ZNF570	909	1582	908	697	1134	283
ZNF541_-_48044187.23-P1P2_h5_Top5	ZNF541	206	508	178	128	193	40
H1FOO_-_129267639.23-P1P2_h5_Top5	H1FOO	940	1276	576	680	812	180
MPHOSPH10_-_71358139.23-P1P2_h5_Top5	MPHOSPH10	18	56	44	12	51	2
ZIM3_+_57656549.23-ENST00000269834.1_h5_Top5	ZIM3	886	1372	859	535	779	221
NOL12_-_38082440.23-P1P2_h5_Top5	NOL12	42	144	60	69	88	13
TIPARP_-_156392603.23-P1P2_h5_Top5	TIPARP	423	569	215	199	287	56
AGO4_-_36274041.23-P1P2_h5_Top5	AGO4	291	303	150	149	195	57
NUFIP1_+_45563572.23-P1P2_h5_Top5	NUFIP1	169	135	141	81	135	25
SLTM_+_59225739.23-P1P2_h5_Top5	SLTM	5019	7122	4041	3160	4157	1076
ZFP92_+_152683807.23-ENST00000338647.5_h5_Top5	ZFP92	1898	2754	1753	1286	2119	514
ZNF839_+_102786484.23-P1P2_h5_Top5	ZNF839	846	1047	540	399	608	158
ARNTL_+_13299420.23-P1P2_h5_Supp5	ARNTL	0	0	1	0	0	0
SP5_+_171573110.23-P1P2_h5_Top5	SP5	3958	5187	2399	2634	3820	731
ZNF816_-_53466078.23-P1_h5_Top5	ZNF816	1192	1929	914	1045	1214	307
TARBP1_+_234614839.23-P1P2_h5_Top5	TARBP1	1602	1892	1335	923	1330	371
BBX_+_107241904.23-P1P2_h5_Top5	BBX	757	1180	371	680	730	145
SIX6_-_60975927.23-P1P2_h5_Top5	SIX6	1100	1690	778	721	1287	256
TEAD1_-_12696375.23-P1P2_h5_Top5	TEAD1	1559	2802	1546	1257	1845	404
CYTL1_-_5021156.23-P1P2_h5_Top5	CYTL1	2342	3179	1830	1698	2411	532
TCF23_-_27371877.23-P1P2_h5_Top5	TCF23	2093	2552	1393	1384	1980	454
GEMIN4_+_655371.23-P1P2_h5_Top5	GEMIN4	83	205	88	39	169	28
RBM6_+_49977653.23-P1P2_h5_Top5	RBM6	5147	7321	4157	2521	4326	1080
TCEAL2_-_101381979.23-P2_h5_Top5	TCEAL2	1705	2867	1213	1250	1544	380
TSHZ2_+_51589124.23-P1P2_h5_Top5	TSHZ2	2531	3436	2046	1721	2614	544
PTF1A_-_23481742.23-P1P2_h5_Top5	PTF1A	2156	2864	1502	1235	1791	449
ZNF770_-_35280115.23-P1P2_h5_Top5	ZNF770	793	1135	580	594	782	185
DIDO1_+_61568844.23-P2_h5_Top5	DIDO1	3091	4154	2265	1808	2749	650
PNRC1_+_89790478.23-P1P2_h5_Top5	PNRC1	2741	3716	2132	1992	2963	562
KIAA2018_+_113415428.23-P1P2_h5_Top5	KIAA2018	1731	1953	1361	1201	1363	423
CTCFL_+_56099910.23-P1P2_h5_Top5	CTCFL	946	913	839	554	752	231
WDR92_-_68384657.23-P1P2_h5_Top5	WDR92	21	10	32	16	23	3
IRF9_-_24630567.23-P1P2_h5_Top5	IRF9	1293	1494	900	953	1138	210
ZNF438_+_31287935.23-P2_h5_Top5	ZNF438	1314	1642	914	930	1280	338
ZNF169_+_97021964.23-P1P2_h5_Top5	ZNF169	2410	3974	2155	1797	2566	618
ZNF107_-_64126760.23-P1P2_h5_Top5	ZNF107	2465	3403	2048	1731	2307	589
DUSP28_-_241499806.23-P1P2_h5_Top5	DUSP28	3377	4138	2673	2203	3134	749
CRAMP1L_+_1664606.23-P2_h5_Top5	CRAMP1L	960	1693	971	843	1243	287
AGO3_-_36396756.23-P1P2_h5_Top5	AGO3	1449	1633	981	1099	1314	372
ZNF610_+_52839911.23-P1P2_h5_Top5	ZNF610	2072	2735	1434	1528	1706	389
ZNF35_+_44690661.23-P1P2_h5_Top5	ZNF35	1344	1994	873	873	1157	317
EGR2_-_64575710.23-P1P2_h5_Top5	EGR2	2483	3385	2154	1959	2500	709
ZNF664_+_124458292.23-P1P2_h5_Top5	ZNF664	118	170	61	138	55	7
KLF13_+_31619428.23-P1P2_h5_Top5	KLF13	2639	3335	1549	1610	2059	462
SLC26A3_-_107443651.23-P1P2_h5_Top5	SLC26A3	1355	2321	1353	986	1908	456
ZNF195_-_3400184.23-P1P2_h5_Top5	ZNF195	4251	6046	3103	2708	4433	954
SHOX_+_591916.23-P1P2_h5_Top5	SHOX	1871	2881	1464	1102	1696	459
TWISTNB_+_19748576.23-P1P2_h5_Supp5	TWISTNB	0	0	1	0	0	0
RBM45_-_178977249.23-P1P2_h5_Top5	RBM45	1875	2810	1417	1317	1814	384
ZNF529_+_37064162.23-P1P2_h5_Top5	ZNF529	1357	2053	1041	771	1304	308
GSX1_+_28366688.23-P1P2_h5_Top5	GSX1	1707	2301	1243	1198	1496	415
HIST1H4C_+_26104154.23-P1P2_h5_Top5	HIST1H4C	993	1676	1015	709	1090	254
ZNF638_-_71558915.23-P1P2_h5_Top5	ZNF638	2724	4048	2388	1448	2195	579
PRDM5_+_121843452.23-P1P2_h5_Top5	PRDM5	2003	3010	1673	1423	2144	489
TRIP13_-_893013.23-P1P2_h5_Top5	TRIP13	158	282	79	82	135	67
NOVA2_-_46476768.23-P1P2_h5_Top5	NOVA2	1968	2690	1386	1462	1885	339
ERCC6L2_-_98638398.23-P1P2_h5_Top5	ERCC6L2	2722	4710	2287	2257	3099	821
RPRD1A_+_33647215.23-P1P2_h5_Supp5	RPRD1A	0	0	0	0	0	1
ESF1_+_13765528.23-P1_h5_Top5	ESF1	775	1424	511	538	760	253
GABPB2_+_151043691.23-P1P2_h5_Top5	GABPB2	2150	3610	1842	1636	2657	659
CENPW_-_126661477.23-P1P2_h5_Top5	CENPW	89	138	54	104	140	27
FOXD2_-_47904030.23-P1P2_h5_Top5	FOXD2	630	985	557	384	655	113
ZBTB14_+_5295980.23-P1P2_h5_Top5	ZBTB14	421	480	383	289	503	110
KRTAP5-1_+_1606453.23-ENST00000382171.2_h5_Top5	KRTAP5-1	2670	3497	2147	1865	2134	625
EBF2_-_25902854.23-P1P2_h5_Top5	EBF2	1098	1510	1076	857	1174	334
HMG20A_-_77713273.23-P1P2_h5_Top5	HMG20A	1159	1126	699	844	904	179
LZTR1_-_21336663.23-P1P2_h5_Top5	LZTR1	3820	4606	2628	1908	2957	694
ASCL2_-_2292214.23-P1P2_h5_Top5	ASCL2	2590	3383	2092	1824	2390	607
KIAA2018_-_113415065.23-P1P2_h5_Top5	KIAA2018	3447	4930	2761	1928	3243	696
ZNF296_-_45579297.23-P1P2_h5_Top5	ZNF296	601	949	552	453	903	213
GATA2_+_128206757.23-P2_h5_Top5	GATA2	1646	1929	1063	870	1277	279
NFYA_+_41040751.23-P1P2_h5_Top5	NFYA	70	86	31	77	19	15
DDX46_-_134094602.23-P1_h5_Top5	DDX46	830	1397	530	675	1119	242
CIAO1_+_96932129.23-P1P2_h5_Top5	CIAO1	1721	2188	1109	1358	1529	340
TGIF2LX_+_89177091.23-P1P2_h5_Top5	TGIF2LX	2017	2564	1819	1534	1808	545
MED15_-_20850318.23-P2_h5_Top5	MED15	3916	5379	2681	2143	3809	814
SOX7_-_10697372.23-P1P2_h5_Supp5	SOX7	0	0	0	1	0	0
ZNF362_-_33722119.23-P1P2_h5_Top5	ZNF362	480	743	421	965	855	280
ZNF430_+_21203464.23-P1P2_h5_Top5	ZNF430	2767	4642	2646	2119	3036	701
IKZF4_-_56401281.23-P1_h5_Top5	IKZF4	629	979	511	491	723	167
HMGB4_-_34330152.23-P1P2_h5_Top5	HMGB4	691	1009	743	391	670	212
ZBTB7C_-_45663457.23-P2_h5_Top5	ZBTB7C	2297	3608	1657	1632	2294	545
KIF22_+_29802465.23-P1_h5_Top5	KIF22	1092	1304	855	557	919	222
CMTM7_+_32433411.23-P1P2_h5_Top5	CMTM7	3125	4116	2363	2184	2761	685
ZNF365_+_64134153.23-P1P2_h5_Top5	ZNF365	1519	2014	1120	1159	1335	467
PAPOLG_-_60983801.23-P1P2_h5_Top5	PAPOLG	1904	2777	1607	1258	1405	311
ZNF804B_+_88389276.23-P1P2_h5_Top5	ZNF804B	4379	5808	2903	2929	3862	862
ZNF329_+_58666376.23-P2_h5_Top5	ZNF329	2608	3431	1617	1369	2516	511
HMGXB3_-_149380343.23-P1P2_h5_Top5	HMGXB3	2200	2771	1877	1184	1800	404
SF3B3_-_70557895.23-P1P2_h5_Top5	SF3B3	242	521	292	178	390	134
INSM2_+_36003560.23-P1P2_h5_Top5	INSM2	332	436	145	213	395	46
STRBP_+_126030796.23-P1P2_h5_Top5	STRBP	3757	6284	3356	2213	3599	916
CELF5_+_3225110.23-P1P2_h5_Top5	CELF5	3639	5323	3009	2624	3894	902
DMAP1_-_44679165.23-P1P2_h5_Top5	DMAP1	312	248	262	165	216	64
CPSF7_-_61197398.23-P1P2_h5_Top5	CPSF7	1417	1966	998	907	1003	323
RSF1_-_77531924.23-P1P2_h5_Top5	RSF1	965	1259	780	683	747	218
GPBP1_+_56470335.23-P1P2_h5_Top5	GPBP1	2354	3205	1897	1511	2294	456
THAP6_-_76439744.23-P1P2_h5_Top5	THAP6	909	1079	496	543	647	173
HKR1_+_37825603.23-P2_h5_Top5	HKR1	760	1258	724	502	837	235
ANKRD33B_+_10564449.23-P1P2_h5_Top5	ANKRD33B	2369	3015	1752	1719	2178	490
ZNF831_+_57766512.23-ENST00000371030.2_h5_Top5	ZNF831	3421	4292	2845	2340	3161	762
ZNF107_-_64126998.23-P1P2_h5_Top5	ZNF107	2254	3892	1807	1355	2342	507
ZNF785_-_30596970.23-P1P2_h5_Top5	ZNF785	516	468	565	342	528	148
PABPC1L2B_-_72223869.23-ENST00000373521.2,ENST00000538388.1_h5_Top5	PABPC1L2B	1281	1585	789	685	1190	203
HNRNPAB_-_177631525.23-P1P2_h5_Top5	HNRNPAB	1248	1781	965	873	904	190
HAVCR1_-_156486084.23-P1P2_h5_Top5	HAVCR1	2784	3765	2097	1899	2598	622
HOXB6_-_46675345.23-P2_h5_Top5	HOXB6	2772	4230	2414	1721	2390	719
RBM42_-_36120005.23-P1P2_h5_Top5	RBM42	30	32	24	0	28	2
TCEAL1_+_102883916.23-P1P2_h5_Top5	TCEAL1	740	1204	601	569	642	125
ZNF750_-_80797807.23-P1P2_h5_Top5	ZNF750	1337	1486	930	846	950	329
KIF13A_-_17987471.23-P1P2_h5_Top5	KIF13A	3650	5491	2795	2632	3372	783
ZKSCAN3_-_28317814.23-P1P2_h5_Top5	ZKSCAN3	3926	5718	3171	2423	4245	881
TSC22D2_-_150126801.23-P1P2_h5_Top5	TSC22D2	1088	1497	1037	792	1127	297
ZNF320_+_53400532.23-P1P2_h5_Top5	ZNF320	1399	2903	1229	1082	2080	320
ZIC1_+_147127557.23-P1P2_h5_Top5	ZIC1	1565	2162	1183	1053	1261	327
THAP7_+_21356392.23-P1P2_h5_Top5	THAP7	2330	3307	1463	1380	2171	454
ZNF681_+_23941246.23-P1P2_h5_Top5	ZNF681	1522	1832	1114	887	1122	344
SUSD2_-_24577908.23-P1P2_h5_Top5	SUSD2	1426	1932	1058	1073	1292	362
SRSF6_+_42086965.23-P1_h5_Top5	SRSF6	1058	1194	660	762	689	236
ZNF285_+_44905577.23-ENST00000330997.4,ENST00000544719.2_h5_Top5	ZNF285	391	345	303	188	343	79
HOXD12_+_176964646.23-P1P2_h5_Top5	HOXD12	2032	2892	1542	1782	2013	483
ZNF93_+_20012032.23-P1P2_h5_Top5	ZNF93	875	823	566	630	719	149
ZFP90_-_68564051.23-P2_h5_Top5	ZFP90	1445	2543	1389	396	801	181
TRPV2_+_16319305.23-P1P2_h5_Top5	TRPV2	1920	2493	1539	1409	2012	488
ANKRD17_-_74124477.23-P1P2_h5_Top5	ANKRD17	1604	2771	1088	1163	1928	398
HOXB3_+_46667153.23-P1P2_h5_Top5	HOXB3	574	601	379	348	405	121
DDX56_-_44613084.23-P1P2_h5_Top5	DDX56	142	219	120	116	156	27
GRHL1_+_10091891.23-P1P2_h5_Top5	GRHL1	2363	2838	2136	1390	2312	574
TCEAL2_-_101382264.23-P2_h5_Top5	TCEAL2	1265	2005	1085	782	1416	297
ZNF75D_+_134477548.23-P1P2_h5_Top5	ZNF75D	543	1178	718	409	649	230
CITED4_+_41328028.23-P1P2_h5_Top5	CITED4	3389	4186	2467	2285	3167	714
NKRF_+_118739438.23-P1P2_h5_Top5	NKRF	1104	1755	979	825	1127	304
CREG1_-_167523003.23-P1P2_h5_Top5	CREG1	575	658	525	365	630	169
ZNF808_-_53039267.23-P2_h5_Top5	ZNF808	1677	3085	1757	1342	2011	401
HIST1H1T_+_26108269.23-P1P2_h5_Top5	HIST1H1T	2537	4085	2142	1736	2569	643
BCOR_-_39956772.23-P1P2_h5_Top5	BCOR	1162	1700	870	676	1324	244
VPS72_-_151162210.23-P1P2_h5_Top5	VPS72	49	140	107	112	159	57
HIST2H3D_-_149784783.23-ENST00000331491.1_h5_Top5	HIST2H3D	199	161	138	121	180	47
ATF7IP_+_14538571.23-P2_h5_Top5	ATF7IP	1524	2586	1213	1120	1634	401
SP140_+_231090471.23-P1P2_h5_Top5	SP140	1946	2791	1615	1425	2088	552
ZNF524_-_56112127.23-P1P2_h5_Top5	ZNF524	1690	2183	1377	1142	1387	386
TAF8_+_42018316.23-P1P2_h5_Top5	TAF8	25	35	39	8	24	8
TCF15_+_590907.23-P1P2_h5_Top5	TCF15	2665	3807	2012	1829	2454	694
MED28_-_17616295.23-P1P2_h5_Top5	MED28	323	578	398	288	311	101
TCEAL4_-_102840460.23-P1_h5_Top5	TCEAL4	3263	3517	2406	2273	2634	678
ZNF397_+_32821465.23-P1P2_h5_Top5	ZNF397	948	1899	863	713	1351	210
ZNF699_-_9415694.23-ENST00000308650.3_h5_Top5	ZNF699	333	587	331	303	320	69
EBNA1BP2_+_43637890.23-P1P2_h5_Top5	EBNA1BP2	223	239	87	107	185	14
ZNF460_-_57791895.23-P1P2_h5_Top5	ZNF460	2617	3384	1654	2063	2389	645
ZNF621_+_40566612.23-P1P2_h5_Top5	ZNF621	3026	4617	2195	2178	2960	662
STAT2_+_56753865.23-P1P2_h5_Top5	STAT2	96399	12335	215810	13000	8246	2126
DOHH_+_3500464.23-P1P2_h5_Top5	DOHH	440	457	235	217	245	47
DIDO1_+_61557847.23-P1_h5_Top5	DIDO1	2388	2960	1647	1556	2341	552
ZNF132_-_58951521.23-P1P2_h5_Top5	ZNF132	1573	2209	1280	881	1689	340
PABPC1L_+_43538743.23-P1P2_h5_Top5	PABPC1L	1560	2565	1249	1199	1545	347
