Guide	Gene	ctrl_1	ctrl_2	ctrl_3	test_1	test_2	test_3
HELB_+_66696553.23-P1P2_h5_Top5	HELB	2675	2714	1575	1443	1624	480
EEF1B2_+_207025024.23-P1P2_h5_Top5	EEF1B2	3682	5338	2881	2542	4001	911
TAF5L_+_229761379.23-P1P2_h5_Top5	TAF5L	4137	5409	3148	3188	4187	1066
ZNF783_-_148959826.23-P1P2_h5_Top5	ZNF783	2467	3807	2186	1844	2458	635
ZNF23_-_71522858.23-P2_h5_Top5	ZNF23	655	999	709	421	647	235
ZNF681_-_23941643.23-P1P2_h5_Top5	ZNF681	1390	1917	922	844	1289	311
OAS3_-_113376582.23-P1P2_h5_Top5	OAS3	1834	1700	1163	970	1515	386
MYT1_+_62795844.23-P1P2_h5_Top5	MYT1	1094	1455	783	670	843	221
POLR3E_+_22309121.23-P1P2_h5_Top5	POLR3E	2727	3984	2458	1691	2351	497
POU5F1B_-_128428082.23-P1P2_h5_Top5	POU5F1B	1791	2744	1479	1138	2127	406
HOXB13_-_46806002.23-P1P2_h5_Top5	HOXB13	1825	3286	1482	1695	2185	497
ZNF396_-_32957041.23-P1P2_h5_Top5	ZNF396	608	966	676	525	832	182
PHF20_-_34359993.23-P1P2_h5_Top5	PHF20	103	67	47	123	179	17
DZIP1L_+_137834053.23-P1P2_h5_Top5	DZIP1L	1455	1957	1164	1149	1476	392
ZNF540_-_38042325.23-P2_h5_Top5	ZNF540	1838	2169	1318	1172	1797	378
ZNF485_-_44101960.23-P1P2_h5_Top5	ZNF485	948	1787	667	690	1075	223
YTHDC1_-_69215723.23-P1P2_h5_Top5	YTHDC1	0	3	4	0	12	0
SLC29A3_+_73079012.23-P1P2_h5_Top5	SLC29A3	2724	3483	2348	1916	2304	729
TFAP4_+_4322859.23-P1P2_h5_Supp5	TFAP4	1	1	0	0	0	0
TCEAL5_+_102531632.23-P1P2_h5_Top5	TCEAL5	2269	3126	1892	1439	2603	573
ZNF683_+_26696830.23-P1P2_h5_Top5	ZNF683	4189	5934	3627	2946	4411	1124
